,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
BIRMINGHAM,1988Q4,"$87,393","$66,558","$20,835",23.8%,0.635,0.433
BIRMINGHAM,1989Q1,"$88,849","$67,057","$21,792",24.5%,0.646,0.455
BIRMINGHAM,1989Q2,"$89,844","$67,526","$22,318",24.8%,0.653,0.466
BIRMINGHAM,1989Q3,"$90,524","$67,959","$22,565",24.9%,0.658,0.472
BIRMINGHAM,1989Q4,"$91,657","$68,327","$23,330",25.5%,0.666,0.488
BIRMINGHAM,1990Q1,"$92,065","$68,558","$23,507",25.5%,0.669,0.491
BIRMINGHAM,1990Q2,"$92,444","$68,800","$23,644",25.6%,0.672,0.494
BIRMINGHAM,1990Q3,"$92,759","$69,035","$23,724",25.6%,0.674,0.496
BIRMINGHAM,1990Q4,"$93,229","$69,296","$23,934",25.7%,0.677,0.501
BIRMINGHAM,1991Q1,"$93,801","$69,624","$24,178",25.8%,0.682,0.508
BIRMINGHAM,1991Q2,"$94,841","$69,956","$24,885",26.2%,0.689,0.524
BIRMINGHAM,1991Q3,"$95,315","$70,278","$25,037",26.3%,0.693,0.528
BIRMINGHAM,1991Q4,"$96,102","$70,560","$25,542",26.6%,0.698,0.540
BIRMINGHAM,1992Q1,"$97,257","$70,849","$26,408",27.2%,0.707,0.561
BIRMINGHAM,1992Q2,"$97,640","$71,058","$26,582",27.2%,0.710,0.566
BIRMINGHAM,1992Q3,"$98,867","$71,322","$27,544",27.9%,0.718,0.587
BIRMINGHAM,1992Q4,"$99,988","$71,718","$28,271",28.3%,0.727,0.602
BIRMINGHAM,1993Q1,"$100,730","$72,203","$28,527",28.3%,0.732,0.606
BIRMINGHAM,1993Q2,"$101,993","$72,912","$29,081",28.5%,0.741,0.617
BIRMINGHAM,1993Q3,"$103,805","$73,656","$30,149",29.0%,0.754,0.640
BIRMINGHAM,1993Q4,"$105,075","$74,334","$30,741",29.3%,0.764,0.653
BIRMINGHAM,1994Q1,"$106,219","$74,873","$31,347",29.5%,0.772,0.667
BIRMINGHAM,1994Q2,"$108,064","$75,319","$32,745",30.3%,0.785,0.698
BIRMINGHAM,1994Q3,"$108,976","$75,749","$33,226",30.5%,0.792,0.710
BIRMINGHAM,1994Q4,"$110,828","$76,243","$34,585",31.2%,0.805,0.741
BIRMINGHAM,1995Q1,"$112,524","$76,937","$35,586",31.6%,0.818,0.766
BIRMINGHAM,1995Q2,"$113,068","$77,657","$35,411",31.3%,0.822,0.765
BIRMINGHAM,1995Q3,"$114,447","$78,472","$35,976",31.4%,0.832,0.779
BIRMINGHAM,1995Q4,"$115,362","$79,374","$35,989",31.2%,0.838,0.780
BIRMINGHAM,1996Q1,"$116,888","$80,293","$36,594",31.3%,0.849,0.794
BIRMINGHAM,1996Q2,"$118,567","$81,262","$37,305",31.5%,0.862,0.810
BIRMINGHAM,1996Q3,"$119,284","$82,133","$37,151",31.1%,0.867,0.808
BIRMINGHAM,1996Q4,"$120,166","$82,808","$37,358",31.1%,0.873,0.814
BIRMINGHAM,1997Q1,"$121,092","$83,227","$37,865",31.3%,0.880,0.827
BIRMINGHAM,1997Q2,"$122,226","$83,543","$38,683",31.6%,0.888,0.847
BIRMINGHAM,1997Q3,"$123,365","$83,928","$39,437",32.0%,0.896,0.865
BIRMINGHAM,1997Q4,"$124,199","$84,563","$39,636",31.9%,0.903,0.872
